Economic Activity,sector
Accommodation,Accommodation and food service activities
Activities auxiliary to financial services and insurance activities,Financial and insurance activities
Activities of extraterritorial organisations and bodies,Activities of extraterritorial organizations
Activities of head offices; management consultancy activities,"Professional, scientific and technical activities"
Activities of households as employers of domestic personnel,Households as employers
Activities of membership organisations,Other service activities
Advertising and market research,"Professional, scientific and technical activities"
Air transport,Transportation and storage
Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities"
Civil engineering,Construction
"Computer programming, consultancy and related activities",Information and communication
Construction of buildings,Construction
"Creative, arts and entertainment activities","Arts, entertainment and recreation"
"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
Education,Education
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning"
Employment activities,Administrative and support service activities
Extraction of crude petroleum and natural gas,Mining and quarrying
"Financial service activities, except insurance and pension funding",Financial and insurance activities
Fishing and aquaculture,"Agriculture, forestry and fishing"
Food and beverage service activities,Accommodation and food service activities
Forestry and logging,"Agriculture, forestry and fishing"
Gambling and betting activities,"Arts, entertainment and recreation"
Human health activities,Human health and social work activities
Information service activities,Information and communication
"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities
Land transport and transport via pipelines,Transportation and storage
Legal and accounting activities,"Professional, scientific and technical activities"
"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
Manufacture of basic metals,Manufacturing
Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing
Manufacture of beverages,Manufacturing
Manufacture of chemicals and chemical products,Manufacturing
Manufacture of coke and refined petroleum products,Manufacturing
"Manufacture of computer, electronic and optical products",Manufacturing
Manufacture of electrical equipment,Manufacturing
"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing
Manufacture of food products,Manufacturing
Manufacture of furniture,Manufacturing
Manufacture of leather and related products,Manufacturing
Manufacture of machinery and equipment n.e.c.,Manufacturing
"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing
Manufacture of other non-metallic mineral products,Manufacturing
Manufacture of other transport equipment,Manufacturing
Manufacture of paper and paper products,Manufacturing
Manufacture of rubber and plastic products,Manufacturing
Manufacture of textiles,Manufacturing
Manufacture of tobacco products,Manufacturing
Manufacture of wearing apparel,Manufacturing
Manufacture of wood and of products of wood and cork...,Manufacturing
Mining of coal and lignite,Mining and quarrying
Mining of metal ores,Mining and quarrying
Mining support service activities,Mining and quarrying
"Motion picture, video and television programme production...",Information and communication
"Office administrative, office support and other business support activities",Administrative and support service activities
Other manufacturing,Manufacturing
Other mining and quarrying,Mining and quarrying
Other personal service activities,Other service activities
"Other professional, scientific and technical activities","Professional, scientific and technical activities"
Postal and courier activities,Transportation and storage
Printing and reproduction of recorded media,Manufacturing
Programming and broadcasting activities,Information and communication
Public administration and defence; compulsory social security,Public administration and defence
Publishing activities,Information and communication
Real estate activities,Real estate activities
Remediation activities and other waste management services,"Water supply; sewerage, waste management"
Rental and leasing activities,Administrative and support service activities
Repair and installation of machinery and equipment,Manufacturing
Repair of computers and personal and household goods,Other service activities
Residential care activities,Human health and social work activities
"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade
Scientific research and development,"Professional, scientific and technical activities"
Security and investigation activities,Administrative and support service activities
Services to buildings and landscape activities,Administrative and support service activities
Sewerage,"Water supply; sewerage, waste management"
Social work activities without accommodation,Human health and social work activities
Specialised construction activities,Construction
Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
Telecommunications,Information and communication
"Travel agency, tour operator and other reservation service...",Administrative and support service activities
Undifferentiated goods- and services-producing activities of private households for own use,Activities of households
Veterinary activities,"Professional, scientific and technical activities"
Warehousing and support activities for transportation,Transportation and storage
"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management"
"Water collection, treatment and supply","Water supply; sewerage, waste management"
Water transport,Transportation and storage
Wholesale and retail trade and repair of motor vehicles and motorcycles,Wholesale and retail trade
"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade
