country,15_years_or_over_2014_Females,15_years_or_over_2014_Males,15_years_or_over_2024_Females,15_years_or_over_2024_Males,50_years_or_over_2014_Females,50_years_or_over_2014_Males,50_years_or_over_2024_Females,50_years_or_over_2024_Males,gender_ratio_2014,gender_ratio_2024,gender_ratio_2014_2024,female_ratio_2014,female_ratio_2024,male_ratio_2014,male_ratio_2024,female_diff_2014_2024,male_diff_2014_2024
Austria,1898900.0,2120600.0,2088700.0,2306700.0,422800.0,557300.0,613600.0,734400.0,47.24,47.52,0.28,22.27,29.38,26.28,31.84,7.11,5.56
Belgium,2064400.0,2379000.0,2324200.0,2616700.0,519800.0,676700.0,695500.0,837200.0,46.46,47.04,0.58,25.18,29.92,28.44,31.99,4.75,3.55
Bulgaria,1348800.0,1520000.0,1335700.0,1502100.0,373200.0,387200.0,482400.0,529900.0,47.02,47.07,0.05,27.67,36.12,25.47,35.28,8.45,9.8
Croatia,692800.0,806000.0,775900.0,863700.0,170600.0,226700.0,232800.0,245800.0,46.22,47.32,1.1,24.62,30.0,28.13,28.46,5.38,0.33
Cyprus,168500.0,175400.0,227800.0,243300.0,29800.0,44500.0,59800.0,71500.0,49.0,48.35,-0.64,17.69,26.25,25.37,29.39,8.57,4.02
Czechia,2114200.0,2762400.0,2290300.0,2802300.0,619000.0,782800.0,836700.0,946500.0,43.35,44.97,1.62,29.28,36.53,28.34,33.78,7.25,5.44
Denmark,1223200.0,1378200.0,1410400.0,1593900.0,338000.0,411900.0,469000.0,554200.0,47.02,46.95,-0.07,27.63,33.25,29.89,34.77,5.62,4.88
Estonia,285400.0,293400.0,311500.0,303900.0,92400.0,69700.0,107600.0,81800.0,49.31,50.62,1.31,32.38,34.54,23.76,26.92,2.17,3.16
Finland,1157400.0,1216600.0,1214200.0,1289900.0,365700.0,362300.0,371000.0,391200.0,48.75,48.49,-0.26,31.6,30.56,29.78,30.33,-1.04,0.55
France,12513500.0,13381700.0,13764300.0,14399000.0,3689100.0,3822700.0,4580700.0,4659700.0,48.32,48.87,0.55,29.48,33.28,28.57,32.36,3.8,3.79
Germany,18391200.0,21088300.0,20108700.0,22734700.0,6231700.0,7156000.0,7625600.0,8401300.0,46.58,46.94,0.35,33.88,37.92,33.93,36.95,4.04,3.02
Greece,1458200.0,2027400.0,1822300.0,2406200.0,346000.0,550800.0,654200.0,894400.0,41.83,43.1,1.26,23.73,35.9,27.17,37.17,12.17,10.0
Hungary,1838300.0,2171700.0,2188000.0,2458000.0,463800.0,500000.0,708800.0,793500.0,45.84,47.09,1.25,25.23,32.39,23.02,32.28,7.17,9.26
Ireland,875600.0,1045400.0,1223200.0,1360300.0,186100.0,258500.0,296800.0,384900.0,45.58,47.35,1.77,21.25,24.26,24.73,28.3,3.01,3.57
Italy,9245200.0,12783600.0,10071800.0,13588000.0,2829700.0,4184600.0,4033600.0,5552700.0,41.97,42.57,0.6,30.61,40.05,32.73,40.86,9.44,8.13
Latvia,415700.0,391400.0,404600.0,381000.0,131300.0,99900.0,158700.0,117500.0,51.51,51.5,-0.0,31.59,39.22,25.52,30.84,7.64,5.32
Lithuania,650300.0,611000.0,705300.0,712700.0,196100.0,164900.0,268300.0,220500.0,51.56,49.74,-1.82,30.16,38.04,26.99,30.94,7.89,3.95
Luxembourg,92100.0,117900.0,106400.0,121900.0,15400.0,24900.0,15700.0,13800.0,43.86,46.61,2.75,16.72,14.76,21.12,11.32,-1.97,-9.8
Malta,67400.0,111200.0,119600.0,183800.0,8900.0,26300.0,19500.0,32100.0,37.74,39.42,1.68,13.2,16.3,23.65,17.46,3.1,-6.19
Netherlands,3447300.0,4087000.0,4522200.0,5049300.0,942900.0,1340100.0,1461100.0,1779200.0,45.75,47.25,1.49,27.35,32.31,32.79,35.24,4.96,2.45
Poland,6995600.0,8585900.0,7700100.0,8996500.0,1836300.0,2352000.0,2047000.0,2484300.0,44.9,46.12,1.22,26.25,26.58,27.39,27.61,0.33,0.22
Portugal,2085900.0,2244800.0,2478300.0,2537100.0,583300.0,664400.0,872700.0,907200.0,48.17,49.41,1.25,27.96,35.21,29.6,35.76,7.25,6.16
Romania,3656000.0,4700300.0,3244800.0,4374600.0,942300.0,1204100.0,969800.0,1302000.0,43.75,42.59,-1.17,25.77,29.89,25.62,29.76,4.11,4.15
Slovakia,1022800.0,1275400.0,1086200.0,1282100.0,252100.0,296100.0,282500.0,311400.0,44.5,45.86,1.36,24.65,26.01,23.22,24.29,1.36,1.07
Slovenia,408400.0,483700.0,438700.0,525600.0,99600.0,127100.0,122200.0,154700.0,45.78,45.49,-0.29,24.39,27.86,26.28,29.43,3.47,3.16
Spain,7840500.0,9346100.0,9970300.0,11478000.0,2047000.0,2585700.0,3464300.0,4063900.0,45.62,46.49,0.87,26.11,34.75,27.67,35.41,8.64,7.74
Sweden,2235000.0,2445400.0,2472900.0,2719500.0,705100.0,793700.0,818300.0,936600.0,47.75,47.63,-0.13,31.55,33.09,32.46,34.44,1.54,1.98
