sector,15_years_or_over_2014_Females,15_years_or_over_2014_Males,15_years_or_over_2024_Females,15_years_or_over_2024_Males,50_years_or_over_2014_Females,50_years_or_over_2014_Males,50_years_or_over_2024_Females,50_years_or_over_2024_Males,gender_ratio_2014,gender_ratio_2024,gender_ratio_2014_2024,female_ratio_2014,female_ratio_2024,male_ratio_2014,male_ratio_2024,female_diff_2014_2024,male_diff_2014_2024
Accommodation and food service activities,4535600.0,3801800.0,5257700.0,4652800.0,1033700.0,755500.0,1461900.0,1177800.0,54.4,53.05,-1.35,22.79,27.8,19.87,25.31,5.01,5.44
Administrative and support service activities,3351800.0,3631000.0,3776900.0,4167500.0,1020200.0,1063500.0,1427200.0,1498700.0,48.0,47.54,-0.46,30.44,37.79,29.29,35.96,7.35,6.67
"Agriculture, forestry and fishing",3506100.0,6324800.0,2061700.0,4741600.0,1595600.0,2681800.0,949700.0,2096200.0,35.66,30.3,-5.36,45.51,46.06,42.4,44.21,0.55,1.81
"Arts, entertainment and recreation",1389600.0,1470100.0,1710100.0,1827600.0,335000.0,377300.0,488800.0,492300.0,48.59,48.34,-0.25,24.11,28.58,25.66,26.94,4.48,1.27
Construction,1164900.0,11380600.0,1466800.0,12659100.0,302800.0,3093100.0,439700.0,4391000.0,9.29,10.38,1.1,25.99,29.98,27.18,34.69,3.98,7.51
Education,9532500.0,3814100.0,11251300.0,4284700.0,3331700.0,1490600.0,4343100.0,1675600.0,71.42,72.42,1.0,34.95,38.6,39.08,39.11,3.65,0.03
"Electricity, gas, steam and air conditioning",328100.0,1078600.0,456400.0,1238300.0,73500.0,383800.0,117600.0,430500.0,23.32,26.93,3.61,22.4,25.77,35.58,34.77,3.37,-0.82
Financial and insurance activities,2763100.0,2485400.0,2976600.0,2678900.0,638500.0,743900.0,905300.0,913000.0,52.65,52.63,-0.01,23.11,30.41,29.93,34.08,7.31,4.15
Households as employers,2082500.0,244800.0,1570400.0,171900.0,803100.0,84900.0,852900.0,89600.0,89.48,90.13,0.65,38.56,54.31,34.68,52.12,15.75,17.44
Human health and social work activities,15302200.0,4225600.0,18215000.0,5177300.0,5079900.0,1571200.0,6753900.0,1899000.0,78.36,77.87,-0.49,33.2,37.08,37.18,36.68,3.88,-0.5
Information and communication,1484500.0,3322700.0,2234300.0,5325000.0,236700.0,582800.0,418000.0,1156800.0,30.88,29.56,-1.32,15.94,18.71,17.54,21.72,2.76,4.18
Manufacturing,8858000.0,20559700.0,9276300.0,21200400.0,2146100.0,5700600.0,2923200.0,7127900.0,30.11,30.44,0.33,24.23,31.51,27.73,33.62,7.28,5.89
Mining and quarrying,29000.0,606100.0,22900.0,411300.0,6000.0,112000.0,2700.0,80100.0,4.57,5.27,0.71,20.69,11.79,18.48,19.47,-8.9,1.0
Other service activities,2980800.0,1506900.0,3388700.0,1747100.0,802700.0,482400.0,1125900.0,652800.0,66.42,65.98,-0.44,26.93,33.23,32.01,37.36,6.3,5.35
"Professional, scientific and technical activities",4562200.0,5109800.0,6154700.0,6294700.0,944100.0,1516700.0,1635400.0,2102700.0,47.17,49.44,2.27,20.69,26.57,29.68,33.4,5.88,3.72
Public administration and defence,6111200.0,7151000.0,7196200.0,7312700.0,2198200.0,2419700.0,2936500.0,2884600.0,46.08,49.6,3.52,35.97,40.81,33.84,39.45,4.84,5.61
Real estate activities,711600.0,763200.0,916800.0,920800.0,244900.0,291800.0,369500.0,409300.0,48.25,49.89,1.64,34.42,40.3,38.23,44.45,5.89,6.22
Transportation and storage,2148500.0,7466300.0,2470600.0,8589400.0,569700.0,2424200.0,762000.0,3194800.0,22.35,22.34,-0.01,26.52,30.84,32.47,37.19,4.33,4.73
"Water supply; sewerage, waste management",250700.0,1140700.0,341100.0,1304500.0,41200.0,393700.0,98900.0,510500.0,18.02,20.73,2.71,16.43,28.99,34.51,39.13,12.56,4.62
Wholesale and retail trade,13099700.0,13466600.0,13661900.0,14125200.0,3034400.0,3501400.0,4256000.0,4619000.0,49.31,49.17,-0.14,23.16,31.15,26.0,32.7,7.99,6.7
