sector,15 years or over_2014,15 years or over_2024,50 years or over_2014,50 years or over_2024,aging_score_2014,aging_score_2024,aging_diff_2014_2024
Accommodation and food service activities,8337700.000000001,9913100.0,1811300.0,2664800.0,21.72421651054847,26.88160111367786,5.15738460312939
Activities of extraterritorial organizations,139100.0,144400.0,42700.0,56600.0,30.697340043134435,39.19667590027701,8.499335857142572
Activities of households,42200.0,118100.0,19300.0,58300.00000000001,45.7345971563981,49.364944961896704,3.6303478054986016
Administrative and support service activities,7051800.0,8010300.0,2132600.0,3009300.0,30.241924047760854,37.56788135275833,7.325957304997473
"Agriculture, forestry and fishing",9857300.0,6832700.0,4296900.0,3075600.0,43.591044200744626,45.01295241998039,1.4219082192357604
"Arts, entertainment and recreation",2914000.0,3597100.0,773500.0,1069400.0,26.544269045984905,29.729504322926804,3.1852352769418992
Construction,12568200.0,14158600.0,3436200.0,4904600.0,27.34043061058863,34.64043055104318,7.299999940454551
Education,13346100.0,15536200.0,4822400.0,6020600.0,36.13340226732903,38.75207579717048,2.6186735298414447
"Electricity, gas, steam and air conditioning",1411399.9999999998,1696899.9999999998,476200.0,572400.0,33.73954938359077,33.73209971123814,-0.007449672352628056
Financial and insurance activities,5265400.0,5683500.0,1426500.0,1880400.0,27.091958825540317,33.085246766956985,5.993287941416668
Households as employers,2342000.0,1777800.0,896900.0000000001,962400.0,38.29632792485056,54.13432332095849,15.837995396107928
Human health and social work activities,19540100.0,23414000.0,6677400.0,8688000.0,34.172803619224055,37.10600495430085,2.933201335076795
Information and communication,4844100.0,7633800.0,887000.0,1691700.0,18.31093495179703,22.16065393382064,3.84971898202361
Manufacturing,29650700.0,30805200.0,8159500.0,10538000.0,27.518743233717924,34.208510251515975,6.689767017798051
Mining and quarrying,679600.0,482900.00000000006,131500.0,118500.0,19.349617422012948,24.539242079105403,5.189624657092455
Other service activities,4510000.0,5164200.0,1345700.0,1832500.0,29.838137472283815,35.48468300995314,5.646545537669322
"Professional, scientific and technical activities",9716700.0,12564900.0,2544700.0,3897700.0,26.18893245649243,31.020541349314364,4.831608892821933
Public administration and defence,13262300.0,14508700.0,4617800.0,5820900.0,34.81899821297965,40.120065891499586,5.301067678519935
Real estate activities,1475000.0,1840100.0,540500.0,791100.0,36.644067796610166,42.992228683223736,6.34816088661357
Transportation and storage,9654600.0,11127700.0,3045600.0,4024300.0,31.545584488223234,36.164706093801954,4.619121605578719
"Water supply; sewerage, waste management",1430900.0,1711100.0000000002,486700.0,667600.0,34.01355790062199,39.01583776518029,5.002279864558297
Wholesale and retail trade,26566500.0,27793100.0,6556200.0,8903000.0,24.678448421884706,32.033130525202296,7.3546821033175895
